688,Felix,Hernandez,SEA,1,98,139,179,0,3,5,5,0,0,1,1,98,98.7764070967742
254,Brian,McCann,ATL,2,0,12,205,5,8,9,3,10,1,2,95,95.32928759712408
393,Adrian,Gonzalez,SD,3,0,10,181,6,12,9,3,13,1,3,90,90.6433259675365
21,Troy,Glaus,TOR,5,0,7,191,7,8,10,4,10,2,1,85,85.6801294014746
250,Pat,Burrell,PHI,7,0,7,186,6,13,3,4,12,3,1,84,84.79551699178418
410,Jeff,Kent,LAD,4,0,9,162,7,8,10,3,10,1,6,83,83.8239798843915
341,Adam,Dunn,CIN,7,0,6,185,6,14,6,4,5,3,1,81,81.9177251775365
203,Kenny,Lofton,TEX,8,0,10,125,13,6,8,2,10,2,4,81,81.21114944252923
114,Juan,Uribe,CHW,6,0,6,152,12,12,11,3,11,2,3,80,80.36531163398129
202,Sammy,Sosa,TEX,9,0,6,176,6,8,8,4,12,2,3,79,79.19453407132978
914,Yhency,Brazoban,LAD,0,95,103,82,0,1,0,0,0,0,3,1,74,74.59669161290321
359,Corey,Koskie,MIL,5,0,6,140,6,8,11,3,11,3,2,70,70.5019428717419
800,Tyler,Johnson,STL,0,92,109,76,0,3,2,1,0,0,2,2,65,65.74610709677418
