302,Albert,Pujols,STL,3,0,12,245,9,11,12,4,13,1,3,98,98.99552417590989
9,Derek,Jeter,NYY,6,0,13,162,12,10,13,2,11,2,3,95,95.16531523701353
66,Carl,Crawford,TB,8,7,10,150,14,12,13,2,10,2,4,90,90.12225041062835
759,Dontrelle,Willis,FLA,1,94,140,188,0,4,0,4,0,0,1,1,85,85.78327741935483
5,Jason,Giambi,NYY,3,0,7,206,5,4,4,4,8,1,5,84,84.52496581460348
1,Jorge,Posada,NYY,2,0,8,176,5,10,9,3,10,1,1,83,83.7244517479272
630,Todd,Wellemeyer,KC,0,97,108,95,0,0,2,2,0,0,2,4,82,82.60700774193549
52,Nick,Markakis,BAL,7,9,8,160,7,10,10,3,10,2,5,81,81.8371254023046
321,Morgan,Ensberg,HOU,5,0,6,166,7,13,11,4,11,2,1,80,80.05683513661099
334,Brandon,Phillips,CIN,4,0,8,150,7,10,10,3,5,1,6,78,78.45507718981345
40,Coco,Crisp,BOS,8,0,7,124,13,8,10,2,13,2,6,75,75.37308556631405
263,Ryan,Langerhans,ATL,9,7,6,118,12,8,14,2,11,2,5,70,70.75162753112464
765,Renyel,Pinto,FLA,0,93,78,84,0,1,0,2,0,0,2,1,65,65.3728722580645
