117,Jermaine,Dye,CHW,9,0,11,227,7,10,11,4,12,2,6,97,97.76828599698611
259,Chipper,Jones,ATL,5,0,11,209,9,12,12,3,10,2,1,97,97.07824307487432
7,Robinson,Cano,NYY,4,0,13,186,10,12,9,3,11,2,1,96,96.99797698886816
851,Francisco,Cordero,MIL,0,99,142,82,0,3,0,2,0,0,2,6,94,94.21185032258064
373,Jason,Bay,PIT,7,0,9,189,12,11,14,3,12,3,1,93,93.79130992491906
507,Brandon,League,TOR,0,98,159,87,0,2,0,2,0,0,3,2,92,92.10106838709676
424,Rich,Aurilia,SF,3,5,10,180,9,12,9,3,9,1,3,91,91.6280660097117
66,Carl,Crawford,TB,8,7,10,150,14,12,13,2,10,2,4,90,90.12225041062835
658,John,Lackey,LAA,1,95,140,188,0,3,4,3,0,0,1,3,88,88.7325677419355
272,Dan,Uggla,FLA,4,0,9,160,12,8,9,3,9,1,5,86,86.65583400522783
335,Edwin,Encarnacion,CIN,5,0,8,160,9,12,9,3,9,2,1,83,83.75765472645237
161,Mike,Piazza,OAK,2,0,8,174,4,6,9,3,9,1,3,80,80.74278104672888
159,Jason,Kendall,OAK,2,0,10,117,7,11,9,2,13,1,1,77,77.23865267787257
101,Gary,Sheffield,DET,9,0,6,118,8,8,10,2,8,2,5,65,65.554402104666
558,J.P,Howell,TB,1,87,110,146,0,0,2,2,0,0,3,4,48,48.615890322580654
