474,Carl,Pavano,NYY,1,93,139,150,1,2,0,2,0,0,1,1
475,Andy,Pettitte,NYY,1,92,156,175,1,5,4,4,0,0,1,2
476,Mike,Mussina,NYY,1,92,159,178,0,2,5,2,0,2,1,3
477,Chien-Ming,Wang,NYY,1,96,163,183,0,3,0,3,0,1,1,4
478,Roger,Clemens,NYY,1,93,131,163,2,4,3,5,0,0,1,5
479,Sean,Henn,NYY,0,94,102,107,0,2,0,1,0,0,1,6
480,Brian,Bruney,NYY,0,97,102,84,0,1,0,1,0,0,2,1
481,Luis,Vizcaino,NYY,0,96,140,81,0,2,0,1,0,0,2,2
482,Scott,Proctor,NYY,0,98,159,86,0,2,2,2,0,0,2,3
483,Mike,Myers,NYY,0,83,149,73,0,2,0,0,0,0,2,4
484,Kyle,Farnsworth,NYY,0,100,139,81,0,2,0,0,0,0,2,5
485,Mariano,Rivera,NYY,0,97,184,86,1,6,0,0,0,0,2,6
486,Colter,Bean,NYY,0,87,62,82,0,3,0,0,0,0,3,1
487,Kei,Igawa,NYY,1,93,148,164,0,2,0,5,0,0,3,2
488,Chase,Wright,NYY,0,88,98,37,0,1,0,2,0,0,3,3
489,Chris,Britton,NYY,0,93,171,83,0,0,2,0,0,0,3,4
490,Jeff,Karstens,NYY,0,90,110,146,0,2,4,3,0,0,3,5
491,Jose,Veras,NYY,0,96,104,81,0,0,2,2,0,0,3,6
492,Darrell,Rasner,NYY,0,89,108,126,0,0,1,2,0,0,4,1
493,Humberto,Sanchez,NYY,0,88,98,37,0,1,0,2,0,0,4,2
494,Roy,Halladay,TOR,1,95,164,194,0,4,5,4,0,2,1,1
495,A.J.,Burnett,TOR,1,98,128,178,0,0,5,4,0,0,1,2
496,Gustavo,Chacin,TOR,1,91,115,150,0,2,2,2,0,0,1,3
497,Tomo,Okha,TOR,1,92,121,154,0,2,2,4,0,0,1,4
498,Josh,Towers,TOR,1,91,119,140,0,2,2,2,0,0,1,5
499,Casey,Janssen,TOR,1,92,128,149,0,5,1,1,0,0,1,6
500,Shaun,Marcum,TOR,0,91,119,132,0,3,2,2,0,0,2,1
501,Victor,Zambrano,TOR,1,92,103,141,0,3,0,2,0,0,2,2
502,Jeremy,Accardo,TOR,0,97,158,83,0,2,0,1,0,0,2,3
503,Scott,Downs,TOR,0,91,136,88,0,4,3,2,0,0,2,4
504,Jason,Frasor,TOR,0,95,142,82,0,1,2,2,0,0,2,5
505,B.J.,Ryan,TOR,0,94,162,84,1,4,0,0,0,0,2,6
506,Dustin,McGowan,TOR,0,97,98,95,0,2,2,2,0,0,3,1
507,Brandon,League,TOR,0,98,159,87,0,2,0,2,0,0,3,2
508,Curt,Schilling,BOS,1,96,162,185,0,1,3,3,0,0,1,1
509,Josh,Beckett,BOS,1,97,130,178,0,0,4,5,0,0,1,2
510,Daisuke,Matsuzaka,BOS,1,96,180,176,0,5,2,4,0,0,1,3
511,Tim,Wakefield,BOS,1,77,124,172,0,0,1,6,0,0,1,4
512,Julian,Taveras,BOS,1,94,144,96,0,2,0,1,0,4,1,5
513,Great,Anderson,BOS,0,92,126,83,0,2,0,2,0,0,1,6
514,Javier,Lopez,BOS,0,88,115,75,0,0,2,1,0,0,2,1
515,Joel,Pineiro,BOS,0,93,148,141,1,2,2,2,0,0,2,2
516,J.C.,Romero,BOS,0,94,144,77,0,2,0,2,0,0,2,3
517,Kyle,Snyder,BOS,0,91,120,129,0,2,2,1,0,0,2,4
518,Hideki,Okajima,BOS,0,90,117,43,0,0,5,2,0,0,2,5
519,Jonathon,Pablabon,BOS,0,98,177,85,0,2,0,1,0,0,2,6
520,Manny,Declarmen,BOS,0,96,174,83,0,0,1,2,0,0,3,1
521,Matt,Clement,BOS,1,93,107,150,1,5,0,2,0,0,3,2
522,Kason,Gabbard,BOS,0,89,106,131,0,0,2,3,0,0,3,3
523,Devern,Hansack,BOS,1,92,103,143,0,3,0,2,0,0,3,4
524,Mike,Timlin,BOS,0,93,163,81,2,2,2,2,0,0,3,5
525,Jon,Lester,BOS,1,93,111,152,0,3,4,2,0,0,3,6
526,Erik,Bedard,BAL,1,97,147,173,0,2,3,2,0,0,1,1
527,Daniel,Cabrera,BAL,1,98,103,168,0,0,3,0,0,0,1,2
528,Adam,Loewen,BAL,1,93,119,152,0,1,2,2,0,0,1,3
529,Steve,Trachsel,BAL,1,90,131,166,2,2,2,2,0,0,1,4
530,Jeremy,Guthrie,BAL,0,98,86,103,0,3,2,1,0,0,1,5
531,John,Parrish,BAL,0,91,80,59,0,3,0,1,0,0,1,6
532,Brian,Burres,BAL,0,90,123,77,0,1,2,2,0,0,2,1
533,Scott,Williamson,BAL,0,93,100,81,0,3,0,2,0,0,2,2
534,Danys,Baez,BAL,0,96,152,83,1,0,2,2,0,0,2,3
535,Great,Thompson,BAL,0,88,173,79,1,3,2,2,0,0,2,4
536,Chad,Bradford,BAL,0,83,190,80,0,1,0,1,4,0,2,5
537,Chris,Ray,BAL,0,98,141,84,0,2,0,2,0,0,2,6
538,Kris,Benson,BAL,1,92,136,179,0,3,0,2,0,0,3,1
539,Sendy,Rleal,BAL,0,94,139,84,0,1,0,1,0,0,3,2
540,Kurt,Birkins,BAL,0,91,111,80,0,0,2,2,0,0,3,3
541,Jim,Johnson,BAL,1,92,98,119,0,0,2,2,0,0,3,4
542,Jaret,Wright,BAL,1,95,137,148,1,1,2,1,0,0,3,5
543,Scott,Kazmir,TB,1,94,131,172,0,3,0,2,0,0,1,1
544,Jae,Seo,TB,0,92,142,144,1,0,3,3,0,0,1,2
